CIUDAD;YEAR;MES;CANTIDAD
Sevilla;2019;ENERO;171
Sevilla;2019;FEBRERO;174
Sevilla;2019;MARZO;178
Sevilla;2019;ABRIL;181
Sevilla;2019;MAYO;185
Huesca;2019;ENERO;20
Huesca;2019;FEBRERO;20
Huesca;2019;MARZO;21
Huesca;2019;ABRIL;21
Huesca;2019;MAYO;22
Teruel;2019;ENERO;5
Teruel;2019;FEBRERO;5
Teruel;2019;MARZO;5
Teruel;2019;ABRIL;5
Teruel;2019;MAYO;5
Zaragoza;2019;ENERO;116
Zaragoza;2019;FEBRERO;118
Zaragoza;2019;MARZO;121
Zaragoza;2019;ABRIL;123
Zaragoza;2019;MAYO;126
Las Palmas;2019;ENERO;111
Las Palmas;2019;FEBRERO;113
Las Palmas;2019;MARZO;115
Las Palmas;2019;ABRIL;118
Las Palmas;2019;MAYO;120
Santa Cruz de Tenerife;2019;ENERO;120
Santa Cruz de Tenerife;2019;FEBRERO;122
Santa Cruz de Tenerife;2019;MARZO;125
Santa Cruz de Tenerife;2019;ABRIL;127
Santa Cruz de Tenerife;2019;MAYO;130
Avila;2019;ENERO;3
Avila;2019;FEBRERO;3
Avila;2019;MARZO;3
Avila;2019;ABRIL;3
Avila;2019;MAYO;3
Burgos;2019;ENERO;34
Burgos;2019;FEBRERO;35
Burgos;2019;MARZO;35
Burgos;2019;ABRIL;36
Burgos;2019;MAYO;37
Leon;2019;ENERO;31
Leon;2019;FEBRERO;32
Leon;2019;MARZO;32
Leon;2019;ABRIL;33
Leon;2019;MAYO;34
Palencia;2019;ENERO;16
Palencia;2019;FEBRERO;16
Palencia;2019;MARZO;17
Palencia;2019;ABRIL;17
Palencia;2019;MAYO;17
Salamanca;2019;ENERO;18
Salamanca;2019;FEBRERO;18
Salamanca;2019;MARZO;19
Salamanca;2019;ABRIL;19
Salamanca;2019;MAYO;19
Segovia;2019;ENERO;12
Segovia;2019;FEBRERO;12
Segovia;2019;MARZO;12
Segovia;2019;ABRIL;13
Segovia;2019;MAYO;13
Soria;2019;ENERO;8
Soria;2019;FEBRERO;8
Soria;2019;MARZO;8
Soria;2019;ABRIL;8
Soria;2019;MAYO;9
Valladolid;2019;ENERO;36
Valladolid;2019;FEBRERO;37
Valladolid;2019;MARZO;37
Valladolid;2019;ABRIL;38
Valladolid;2019;MAYO;39
Zamora;2019;ENERO;7
Zamora;2019;FEBRERO;7
Zamora;2019;MARZO;7
Zamora;2019;ABRIL;7
Zamora;2019;MAYO;8
Albacete;2019;ENERO;31
Albacete;2019;FEBRERO;32
Albacete;2019;MARZO;32
Albacete;2019;ABRIL;33
Albacete;2019;MAYO;34
Ciudad Real;2019;ENERO;34
Ciudad Real;2019;FEBRERO;35
Ciudad Real;2019;MARZO;35
Ciudad Real;2019;ABRIL;36
Ciudad Real;2019;MAYO;37
Cuenca;2019;ENERO;14
Cuenca;2019;FEBRERO;14
Cuenca;2019;MARZO;15
Cuenca;2019;ABRIL;15
Cuenca;2019;MAYO;15
Guadalajara;2019;ENERO;24
Guadalajara;2019;FEBRERO;24
Guadalajara;2019;MARZO;25
Guadalajara;2019;ABRIL;25
Guadalajara;2019;MAYO;26
Toledo;2019;ENERO;96
Toledo;2019;FEBRERO;98
Toledo;2019;MARZO;100
Toledo;2019;ABRIL;102
Toledo;2019;MAYO;104
Barcelona;2019;ENERO;4
Barcelona;2019;FEBRERO;4
Barcelona;2019;MARZO;4
Barcelona;2019;ABRIL;4
Barcelona;2019;MAYO;4
Girona;2019;ENERO;2
Girona;2019;FEBRERO;2
Girona;2019;MARZO;2
Girona;2019;ABRIL;2
Girona;2019;MAYO;2
Lleida;2019;ENERO;6
Lleida;2019;FEBRERO;6
Lleida;2019;MARZO;6
Lleida;2019;ABRIL;6
Lleida;2019;MAYO;6
Tarragona;2019;ENERO;-1
Tarragona;2019;FEBRERO;-1
Tarragona;2019;MARZO;-1
Tarragona;2019;ABRIL;-1
Tarragona;2019;MAYO;-1
Alicante;2019;ENERO;268
Alicante;2019;FEBRERO;273
Alicante;2019;MARZO;279
Alicante;2019;ABRIL;284
Alicante;2019;MAYO;290
Castellon;2019;ENERO;62
Castellon;2019;FEBRERO;63
Castellon;2019;MARZO;65
Castellon;2019;ABRIL;66
Castellon;2019;MAYO;67
Valencia;2019;ENERO;318
Valencia;2019;FEBRERO;324
Valencia;2019;MARZO;331
Valencia;2019;ABRIL;337
Valencia;2019;MAYO;344
Badajoz;2019;ENERO;54
Badajoz;2019;FEBRERO;55
Badajoz;2019;MARZO;56
Badajoz;2019;ABRIL;57
Badajoz;2019;MAYO;58
Caceres;2019;ENERO;24
Caceres;2019;FEBRERO;24
Caceres;2019;MARZO;25
Caceres;2019;ABRIL;25
Caceres;2019;MAYO;26
A Coruña;2019;ENERO;57
A Coruña;2019;FEBRERO;58
A Coruña;2019;MARZO;59
A Coruña;2019;ABRIL;60
A Coruña;2019;MAYO;62
Lugo;2019;ENERO;42
Lugo;2019;FEBRERO;43
Lugo;2019;MARZO;44
Lugo;2019;ABRIL;45
Lugo;2019;MAYO;45
Ourense;2019;ENERO;23
Ourense;2019;FEBRERO;23
Ourense;2019;MARZO;24
Ourense;2019;ABRIL;24
Ourense;2019;MAYO;25
Pontevedra;2019;ENERO;73
Pontevedra;2019;FEBRERO;74
Pontevedra;2019;MARZO;76
Pontevedra;2019;ABRIL;77
Pontevedra;2019;MAYO;79
Alava;2019;ENERO;1
Alava;2019;FEBRERO;1
